female_id,age_days,body_mass_mg,site,collection_date,collector,treatment,eggs_laid,eggs_hatched
87,35,81.91450655,Site_C,23/05/2023,Jones,Medium_dose,33,13
40,66,68.1357896,Site B,20/08/2023,NA,High_dose,28,9
168,60,NA,Site B,04/06/2023,Garci,high_dose,22,6
123,51,71.45003303,Site_A,14/05/2023,Smith,Medium_dose,35,17
6,69,102.2656853,Site_A,22/08/2023,Jones,Low_dose,54,41
5,61,76.9468084,Site_A,27/08/2023,Garcia,Control,53,48
157,42,62.58581119,Site_B,29/05/2023,Jones,Control,54,38
101,20,70.74611841,Site_C,11/06/2023,Jones,Control,NA,NA
176,54,72.67443909,Site B,13/06/2023,Garcia,HIGH_DOSE,29,10
188,25,31.04661423,Site_B,15/05/2023,Jones,High_dose,NA,NA
193,64,98.78072509,Site_A,25/07/2023,Smith,Control,55,45
10,15,NA,Site_A,31/07/2023,Smith,Low_dose,70,32
130,59,73.93376622,Site_C,08/05/2023,Garcia,Low_dose,44,30
99,58,95.05166684,site_a,09/07/2023,Smith,MEDIUM_DOSE,48,26
109,55,-87.16149182,Site_B,04/08/2023,Jones,Control,45,38
118,65,57.2690964,Site_B,25/06/2023,Garcia,Low_dose,32,24
143,76,86.2947559,Site_C,16/05/2023,Jones,MEDIUM_DOSE,61,30
61,49,60.34377904,Site_A,18/07/2023,Smith,Control,33,26
15,61,87.79857491,Site_A,23/07/2023,Smyth,Medium_dose,36,16
177,52,43.44340558,Site_C,11/07/2023,Garcia,Control,43,41
163,45,65.54982673,Site_B,29/05/2023,Garcia,Medium_dose,32,16
50,88,74.72503469,Site_A,11/08/2023,Jones,Low_dose,64,42
74,65,62.84105653,Site_A,20/05/2023,Jones,Low_dose,40,46
136,80,74.73299984,Site B,17/05/2023,Smith,High_dose,32,7
182,27,71.53885401,Site_A,26/07/2023,Jones,low_dose,28,19
105,73,79.58351498,Site_C,04/08/2023,Jones,control,71,59
132,28,80.86128573,Site_C,28/08/2023,Smith,HIGH_DOSE,34,13
116,74,96.34578245,Site_C,12/06/2023,Jones,High_dose,31,10
187,50,102.4692761,Site-C,17/06/2023,Smith,MEDIUM_DOSE,33,19
81,51,80.87930104,site_c,27/08/2023,Jones,Control,59,51
162,48,62.98308548,site_a,25/05/2023,Smith,Low_dose,34,27
155,43,66.01265405,Site_B,28/05/2023,Garcia,Medium_dose,29,16
13,45,63.84321216,Site_C,28/08/2023,Garcia,Control,45,40
181,44,81.52970144,Site_B,14/07/2023,Garcia,Control,48,39
25,46,73.73830454,Site_A,15/08/2023,Smith,Control,42,36
128,52,55.14641341,Site B,24/05/2023,Smith,High_dose,21,4
190,80,NA,Site_B,23/06/2023,Jones,Low_dose,50,36
26,79,NA,Site_C,20/06/2023,Smith,Low_dose,47,24
140,42,69.09751541,Site_A,24/07/2023,Garcia,high_dose,31,6
45,50,56.15837372,site_b,15/01/2024,Jones,Control,41,37
144,48,NA,Site B,21/06/2023,Smith,High_dose,32,11
138,82,82.10899827,Site_C,04/06/2023,Jones,Low_dose,60,48
200,21,65.7661502,Site C,21/06/2023,Smith,High_dose,13,4
130,59,73.93376622,Site_C,08/05/2023,Garcia,Low_dose,0,30
149,44,83.57801301,Site_A,26/05/2023,Garcia,Control,42,34
197,82,99.21496215,Site_B,25/05/2023,Jones,Control,69,58
13,45,63.84321216,Site_C,28/08/2023,Garcia,Control,45,40
198,90,NA,site_b,02/08/2023,Smith,LOW_DOSE,56,44
107,39,46.63472467,Site_A,16/05/2023,Smith,Medium_dose,24,10
95,28,82.99500286,Site_A,29/06/2023,Garcia,Medium_dose,NA,NA
76,54,64.83242065,Site_B,18/05/2023,Garcia,High_dose,24,8
43,25,72.88960722,Site_C,03/08/2023,Smith,Medium_dose,NA,NA
24,42,84.12458829,Site C,16/07/2023,Jones,High_dose,27,15
65,86,92.14757929,Site_A,08/05/2023,Jones,Control,72,58
62,83,90.45285424,Site_B,17/05/2023,Jones,Low_dose,55,36
183,74,5.822319224,Site_C,02/08/2023,Smith,Medium_dose,33,14
52,71,87.29132251,Site_C,07/05/2023,Jones,High_dose,29,5
186,61,72.5467191,Site_A,16/08/2023,Garcia,Low_dose,38,24
55,44,81.51760766,Site_A,21/07/2023,Smith,MEDIUM_DOSE,41,16
86,89,94.38435594,Site_C,08/06/2023,Garcia,Low_dose,52,38
121,89,96.86086309,Site_C,23/07/2023,Smith,CONTROL,76,61
165,26,54.84174935,Site_B,01/08/2023,Smyth,CONTROL,NA,NA
156,76,85.44658596,Site_C,23/08/2023,Jones,High_dose,37,12
20,51,77.60929899,Site_C,21/07/2023,Smith,High_dose,29,10
73,81,79.39368272,Site_A,09/06/2023,Garcia,Control,62,48
3,33,69.39354084,Site_C,22/07/2023,Smith,Medium_dose,27,13
115,30,54.91437338,Site_C,25/06/2023,Garcia,Medium_dose,21,14
166,79,86.21583125,Site_C,13/05/2023,Garcia,Low_dose,43,27
196,72,81.2942702,Site_C,10/06/2023,Smith,high_dose,27,6
60,50,80.87354443,Site_C,09/05/2023,Garci,High_dose,35,12
185,37,88.33032657,Site_C,30/07/2023,Jones,Control,50,39
12,28,61.48483329,Site_C,29/05/2023,Smith,High_dose,22,2
133,26,NA,Site_C,13/07/2023,Smith,control,39,29
88,43,65.71052148,Site C,18/07/2023,Garcia,HIGH_DOSE,16,2
151,45,56.22195529,Site_A,05/06/2023,Smith,Medium_dose,27,13
68,15,77.64966186,Site-A,07/08/2023,Jones,High_dose,70,NA
124,55,60.8883164,Site_A,09/08/2023,Smith,High_dose,21,9
98,75,-56.81497819,Site_A,21/08/2023,Smith,low_dose,51,30
96,90,89.63674085,Site C,29/05/2023,Jones,High_dose,28,7
152,26,55.72600624,Site C,16/06/2023,Garcia,High_dose,16,8
83,46,67.60663991,Site_A,18/08/2023,Smith,Medium_dose,35,19
112,68,85.56999807,Site C,15/01/2024,Smith,high_dose,36,6
11,76,99.18931864,Site_A,21/05/2023,Garcia,MEDIUM_DOSE,42,16
39,60,80.54171914,Site_C,12/06/2023,Garcia,Medium_dose,41,23
29,72,86.03779252,Site_C,10/05/2023,Garcia,Control,58,51
91,74,103.8126103,Site_C,27/07/2023,Garcia,medium_dose,40,26
179,23,73.81882334,Site_B,24/05/2023,Smith,Medium_dose,NA,NA
135,77,90.44039253,site_b,19/06/2023,Smyth,Medium_dose,33,18
66,42,102.0528042,Site_C,04/07/2023,Jones,LOW_DOSE,34,40
41,79,90.29068817,Site_A,05/05/2023,Garcia,Control,55,42
159,25,74.3079533,Site_C,13/06/2023,Garcia,Medium_dose,27,19
28,26,44.86618494,Site_C,18/05/2023,Jones,high_dose,NA,NA
47,53,83.90033275,Site_B,03/05/2023,Jones,Medium_dose,51,28
70,69,63.8369544,Site_A,02/05/2023,Garcia,low_dose,47,34
90,40,64.89348305,site_b,27/08/2023, Jones,Low_dose,35,23
92,55,89.16406309,Site_C,09/06/2023,Smith,High_dose,32,9
129,59,90.96446562,Site_B,02/08/2023,Jones,Control,58,48
4,86,80.94228704,Site_A,24/06/2023,Garcia,High_dose,40,9
64,90,69.33409243,Site C,02/08/2023,Garcia,High_dose,43,9
22,28,51.73881432,Site_B,01/07/2023,Smith,LOW_DOSE,NA,NA
79,42,68.44798935,Site_B,06/07/2023,Smith,Medium_dose,23,11
175,39,79.03057622,Site_A,31/07/2023,Jones,medium_dose,32,16
57,59,3.797185528,Site_C,07/08/2023,Garcia,Control,31,28
67,56,57.00785424,Site_A,09/05/2023,Garcia,Medium_dose,37,21
85,24,78.02429671,Site-A,01/08/2023,Garcia,Control,NA,NA
150,71,88.03500409,Site_B,13/05/2023,NA,Low_dose,50,37
89,51,59.33166009,Site_A,26/07/2023,Garcia,Control,0,34
110,71,77.25082618,Site_C,11/08/2023,Jones,LOW_DOSE,67,50
126,33,79.24038005,site_b,03/07/2023, Jones,low_dose,26,19
35,32,102.0980194,Site_C,11/07/2023,Jones,medium_dose,40,21
160,20,80.50160184,Site B,23/06/2023,Garcia,High_dose,26,9
2,70,55.77303212,Site_B,31/05/2023,Garcia,Low_dose,54,39
46,69,95.42331121,Site_A,23/05/2023,Garcia,Low_dose,53,38
19,34,57.07692302,Site_A,05/07/2023,Smith,Medium_dose,17,7
111,41,59.93146734,Site_C,04/07/2023,Garcia,Medium_dose,26,15
33,88,99.50227732,Site_C,25/07/2023,Jones,CONTROL,91,75
139,73,91.94911809,Site_C,09/08/2023,Jones,Medium_dose,54,23
167,45,57.86496522,Site_C,16/07/2023,Jones,Medium_dose,31,11
37,57,76.70987699,Site_C,05/08/2023,Jones,Control,48,43
199,36,62.18249136,Site_A,30/08/2023,Smith,Medium_dose,33,18
137,43,81.07098699,Site_C,09/05/2023,Jones,Control,42,37
59,31,80.0098304,Site_B,15/06/2023,NA,Medium_dose,38,15
146,72,94.42705541,Site_A,07/08/2023,Garcia,Low_dose,45,33
173,56,NA,Site_B,16/07/2023,NA,Control,49,41
